Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC124794920	4	3	8	9	14	11	12	31	55	45	4	3	5	7	12	13	12	26	39	102	22.46	6	38	3.824	1.935	3.935	8.3287539243824e-05	0.00446515625371141	0.4481	0.3353	0.4224	0.4224	TRUE	0.621
LOC124794930	200	346	342	133	234	427	544	664	759	296	215	379	235	100	200	518	564	556	543	669	397.88	226	570	2.163	1.113	4.288	1.80583085766794e-05	0.00132848956762438	0.1001	0.1618	0.1139	0.1139	TRUE	1.234
LOC124795045	329	2881	2834	864	1230	2260	5593	4910	5820	5828	354	3156	1947	648	1049	2742	5802	4111	4161	13181	3715.07	1431	5999	2.502	1.323	3.532	0.000413043166415649	0.0139974399056519	0.5548	0.1525	0.4114	0.4114	TRUE	0.9389
LOC124795106	36	5	51	53	31	11	8	4	7	0	39	5	35	40	26	13	8	3	5	0	17.54	29	6	0.393	-1.349	-3.46	0.000539222180173242	0.0172890559560631	0.3973	0.3868	0.3941	0.3941	TRUE	0.539
LOC124795140	136	620	794	573	338	395	258	8057	1019	2212	146	679	546	430	288	479	268	6746	729	5003	1531.3	418	2645	2.863	1.518	3.432	0.000599232343920593	0.0187589472770603	0.9225	0.1541	0.7213	0.7213	TRUE	0.0989
LOC124795141	2897	5017	3077	4856	3445	5607	4213	15082	15848	5479	3116	5496	2114	3643	2938	6803	4371	12628	11330	12391	6482.86	3461	9505	2.246	1.167	4.076	4.57810878039693e-05	0.00279466368716505	0.1425	0.152	0.1533	0.1533	TRUE	0.1639
LOC124795184	396	682	804	660	408	837	981	1672	1333	1068	426	747	552	495	348	1015	1018	1400	953	2415	937	514	1360	2.247	1.168	4.295	1.74527372907667e-05	0.00130570139663465	0.121	0.1558	0.1269	0.1269	TRUE	1.1108
LOC124795348	21	6	29	38	26	8	3	0	0	0	23	7	20	29	22	10	3	0	0	0	11.26	20	3	0.398	-1.329	-3.209	0.00133077650691609	0.0332068164415066	1.0186	0.5183	0.7897	0.7897	TRUE	1.8696
LOC124795373	30	2	81	6	70	0	0	0	0	0	32	2	56	5	60	0	0	0	0	0	15.43	31	0	0.013	-6.234	-5.431	5.59252796413605e-08	1.00076020677148e-05	1.7156	0.4191	1.1192	1.1192	TRUE	0.0247
LOC124795391	24	23	20	32	18	137	117	176	319	431	26	25	14	24	15	166	121	147	228	975	174.19	21	327	13.865	3.793	6.839	7.99616130491256e-12	3.02529051427578e-09	0.4451	0.1751	0.3824	0.3824	TRUE	4.3135
LOC124795417	153	143	241	256	336	252	724	1047	2214	179	165	157	166	192	287	306	751	877	1583	405	488.65	193	784	3.398	1.764	4.745	2.08886613123883e-06	0.000232443405965248	0.2295	0.1599	0.2154	0.2154	TRUE	0.2477
LOC124795427	3	2	7	4	2	327	253	1	1	0	3	2	5	3	2	397	262	1	1	0	67.57	3	132	4.94	2.305	3.415	0.000637180043902171	0.0197600424856031	2.9205	0.2125	2.0539	2.9205	TRUE	0.1007
LOC124795430	112	70	163	187	142	42	38	36	78	9	120	77	112	140	121	51	39	30	56	20	76.72	114	39	0.393	-1.348	-5.079	3.79491657014283e-07	5.58358724687015e-05	0.0592	0.2052	0.0874	0.0874	TRUE	0.4335
LOC124795445	21	22	14	46	44	22	348	172	180	96	23	24	10	35	38	27	361	144	129	217	100.59	26	176	5.494	2.458	4.796	1.61521665186216e-06	0.000190970525928202	0.4381	0.1925	0.3807	0.3807	TRUE	0.1265
LOC124795446	3	0	1	0	1	3	1	63	58	25	3	0	1	0	1	4	1	53	41	57	16.02	1	31	18.653	4.221	4.4	1.08364677899425e-05	0.000885780904163078	1.4673	0.4092	1.1057	1.1057	TRUE	0.1588
LOC124795456	22	49	32	22	23	53	54	111	121	42	24	54	22	17	20	64	56	93	87	95	53.02	27	79	2.452	1.294	4.298	1.72539827190986e-05	0.00129816613162673	0.11	0.2293	0.1338	0.1338	TRUE	0.9403
LOC124795460	37	26	90	191	183	76	85	202	456	1075	40	28	62	143	156	92	88	169	326	2431	353.62	86	621	2.731	1.449	3.321	0.000896527217081147	0.0250989712655149	1.138	0.1631	0.8794	0.8794	TRUE	6.7866
LOC124795471	5	9	7	9	5	14	18	19	48	19	5	10	5	7	4	17	19	16	34	43	15.99	6	26	3.26	1.705	4.368	1.2537129033646e-05	0.000994111752476286	0.1027	0.4097	0.1674	0.1674	TRUE	0.1078
LOC124795472	1	4	2	6	3	89	70	82	8	50	1	4	1	5	3	108	73	69	6	113	38.19	3	74	21.778	4.445	6.429	1.28846050798136e-10	4.26544851167229e-08	0.5592	0.2595	0.4813	0.4813	TRUE	0.1888
