"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC126327278",172.298153387458,-2.94663150116489,0.786724541494739,-3.74544245888965,0.000180076119258239,0.00225833165955005
"LOC126327315",77.854904569661,-2.14184152661547,0.33283399491484,-6.4351645545206,0.000000000123339633433826,0.00000000492286015183707
"LOC126327323",520.215425299852,-2.53087340115782,0.47213443878886,-5.36049309948694,0.0000000829950973862108,0.0000019841015468891
"LOC126327311",11.390741904239,-2.9231414705022,0.817620516592105,-3.57518116434509,0.000349985461466139,0.00414741807606604
"LOC126327320",21.8039878760972,-3.31760801560103,0.652853044022786,-5.0817072019124,0.000000374057687499879,0.00000793647820781715
"LOC126327314",30.7172648459105,-3.38132724334581,0.403547424358438,-8.37900836245323,0.0000000000000000533754825038936,0.00000000000000633603787998806
"LOC126327389",12.3964377083818,-1.5909243513855,0.537131074883938,-2.96189221919298,0.00305754793265526,0.0275900622756638
"LOC126327405",6.67609582073287,-3.17300783782742,0.891692200051062,-3.55841156583597,0.000373104368122904,0.00437619007585382
"LOC126327457",302.449897837614,-2.57503455447568,0.50452074984445,-5.1039219997782,0.000000332685442011665,0.00000712458699671618
"LOC126327400",29.5181766012,-2.77630419507084,0.389203644857026,-7.13329443790465,0.000000000000979946176284463,0.0000000000555302833227862
"LOC126327410",164.066680612113,-2.74346815932906,0.515445076845946,-5.32252277219639,0.000000102337968273211,0.00000239658813456141
"LOC126327408",600.063371376119,-2.80813907352037,0.365702614238914,-7.6787503402582,0.0000000000000160647969634076,0.00000000000124978674681425
"LOC126327402",105.139970375968,-2.64629095312433,0.337543037372204,-7.83986235866657,0.00000000000000451040556527602,0.000000000000388176778961567
"LOC126327462",80.6144406883519,-2.8652071778464,0.372408222983596,-7.69372693999994,0.0000000000000142909879244448,0.00000000000111810740749776
"LOC126327463",3.56341519753655,-3.19748737843743,1.15809964743852,-2.76097776690428,0.00576285993614528,0.0473193687064523
"LOC126327407",62.6197106248355,-2.26795113965956,0.343902177681949,-6.59475655242006,0.0000000000425954234290866,0.0000000018389087653296
"LOC126327406",269.777389662689,-3.29276239540811,0.601693771157889,-5.47248875299403,0.000000044375893127033,0.00000111506578167745
"LOC126327466",1013.67299126205,-2.17500294644736,0.576250121908348,-3.77440778536321,0.00016038822147022,0.00204116987952396
"LOC126327489",163.520286870669,-2.01247850664416,0.441318436268958,-4.56015054267452,0.00000511169620299103,0.0000857345392389604
"LOC126327491",634.473553295135,-3.21702157554997,0.359043851734475,-8.9599684272802,0.000000000000000000324771388159004,0.0000000000000000566088862651834
"LOC126327503",16.2301417547652,-3.2639914384638,0.555031533962065,-5.880731523782,0.00000000408457229529895,0.000000122537168858968
"LOC126327535",211.021267629592,-2.37531883462815,0.408062411701604,-5.82096945592995,0.00000000585072621494252,0.000000171049893799912
"LOC126327531",15.6069209935723,-2.81240855286919,0.844357552638294,-3.33082654863628,0.000865885376633959,0.00930050049629456
"LOC126327534",333.559822247583,-2.23114410327829,0.377367675350656,-5.9123879680608,0.00000000337183180038826,0.000000104337357059205
"LOC126327561",1327.20721441073,-3.17133065362699,0.358953446185935,-8.83493580385982,0.00000000000000000100155758476068,0.000000000000000154960089237691
"LOC126327568",53.3003646864352,-2.17500636376439,0.334089320200254,-6.51025409151267,0.0000000000750237917412508,0.00000000312108039962847
"LOC126327697",10.8045659659523,-3.33768126191108,1.17064249577013,-2.85115334012826,0.00435609566458664,0.037118463676583
"LOC126327708",30.2071125147917,-2.91548891938696,0.881239496208972,-3.30839565399552,0.000938321438890413,0.00993898939501615
"LOC126327761",40.0567420065576,-2.92448937124572,0.422210323030945,-6.92661740303157,0.00000000000431022199242928,0.000000000222291224103937
"LOC126327741",179.310894078222,-2.52871829274175,0.647043244237504,-3.90811327567708,0.0000930196942195719,0.00125330840450441
"LOC126327759",8.88483313533101,-2.40495171205132,0.641577485179893,-3.74849767581385,0.000177896985909119,0.00223303691519468
"LOC126327765",71.3473051631831,-2.58684703967217,0.536554609476884,-4.82121855628867,0.00000142683923939882,0.0000268043333240406
"LOC126327740",68.5894560309249,-3.51583865161836,0.708548076810342,-4.96203259409799,0.000000697592853709895,0.0000142107451262656
"LOC126327764",30.7718884280434,-2.77964998005236,0.644308560087433,-4.31415963133434,0.0000160211156182288,0.000247599059554445
"LOC126327770",308.146898131294,-2.53145417460235,0.436286724591683,-5.80227183619103,0.00000000654223842987959,0.000000188072282211779
"LOC126327754",17.3878371566705,-3.68008680658057,0.753232316234988,-4.88572612627056,0.00000103048359056046,0.000020213331968686
"LOC126327840",14.0809528859019,-2.19133230027693,0.743257401432851,-2.94828184159684,0.00319545589040664,0.0286281246655169
"LOC126327843",17.4548838210864,-2.05261759032664,0.434042691979908,-4.72906842634193,0.00000225552362781309,0.0000407592655577248
"LOC126327845",241.420407994596,-2.8398480285373,0.85582069579706,-3.31827454335214,0.000905754101853341,0.00964900844563388
"LOC126327866",418.055508697282,-2.64371315897314,0.435026680995744,-6.07712877040525,0.00000000122353507954015,0.000000040500187608817
"LOC126327865",211.593733724656,-2.36065896984856,0.462518737563992,-5.10392072390785,0.000000332687686193791,0.00000712458699671618
"LOC126327885",51.8485746872649,-3.56649223091808,0.48178917892331,-7.40259928396148,0.000000000000133544276576343,0.00000000000924072707766955
"LOC126327888",290.994891913616,-2.27372849428107,0.440848407842147,-5.15761983900648,0.000000250108772869747,0.00000551922724746221
"LOC126327961",140.365571749785,-2.95903751869216,0.460483130204632,-6.42594120088005,0.000000000131056057566529,0.00000000517089373263926
"LOC126327975",38.3743964171441,-2.12352534502671,0.74307699959489,-2.85774602925998,0.00426661731450525,0.0365141829836777
"LOC126328109",114.898430384515,-1.76942998078066,0.449485153186237,-3.93657047009854,0.0000826543562081775,0.00113023881329355
"LOC126328111",17.2310547544574,-3.75209553498164,0.736660859015596,-5.09338250982357,0.000000351731052162071,0.00000748583707615413
"LOC126328142",472.511796678536,-2.40763944089979,0.467744606915236,-5.14733768236925,0.00000026420945370174,0.00000578404479725431
"LOC126328155",125.361985370045,-2.70947732501222,0.288203385299713,-9.4012682127052,0.00000000000000000000539093153320823,0.00000000000000000127988150365995
"LOC126328196",50.4530800172125,-3.33057279277375,0.458463301040404,-7.26464426970617,0.000000000000374021245275412,0.0000000000229833654450598
"LOC126328305",58.1050997283901,-2.88581031453624,0.563317600174635,-5.12288327870744,0.000000300898627872103,0.000006494316780249
"LOC126328340",366.669876320134,-2.98111022774462,0.358458653440147,-8.31646885668611,0.0000000000000000906227913467587,0.0000000000000101453320068688
"LOC126328339",55.5378254035476,-4.91259262609002,0.625111723149489,-7.85874339604286,0.00000000000000388006171996038,0.000000000000342490063358041
"LOC126328336",77.211342348473,-2.29381864151916,0.725582871652197,-3.16134618268481,0.00157041735958485,0.0154682739924774
"LOC126328361",40.7787925817776,-1.86587791181513,0.546004545100082,-3.41733036576301,0.000632384899258238,0.00697751607595027
"LOC126328362",399.01428419459,-2.82723334384286,0.276179877866026,-10.2369273449181,0.00000000000000000000000135470507039291,0.000000000000000000000532979680551725
"LOC126328370",192.292159302091,-2.6788782960116,0.286002944348048,-9.36661090017158,0.00000000000000000000748988993966806,0.00000000000000000166348039466499
"LOC126328371",112.555868050954,-2.72536061962827,0.349449163140805,-7.79901887625965,0.00000000000000623903326586666,0.000000000000523850537018194
"LOC126328398",6.08630567275053,-3.68456672986177,1.05616330518397,-3.48863353969676,0.000485496245965428,0.00550682315234262
"LOC126328410",435.409624771982,-2.71857144249699,0.385052489181653,-7.06026196136203,0.00000000000166189004627541,0.0000000000897420624988722
"LOC126328858",9.09616575976419,-4.64941195267852,0.948225946527714,-4.90327434057683,0.00000094252205194135,0.0000187010499354934
"LOC126328868",32.0318333426386,-2.35431548561989,0.678823158636515,-3.46823094596356,0.000523896843928492,0.00587942912868405
"LOC126328867",392.307167001315,-2.93928773795973,0.473156908064625,-6.21207825112905,0.000000000522883751235787,0.0000000185092782892462
