Id	SPICE_S_Iso_SRR11815240	SPICE_S_Iso_SRR11815251	SPICE_S_Iso_SRR11815261	SPICE_S_Iso_SRR11815273	SPICE_S_Iso_SRR11815274	SPICE_G_Crd_SRR11815268	SPICE_G_Crd_SRR11815269	SPICE_G_Crd_SRR11815270	SPICE_G_Crd_SRR11815271	SPICE_G_Crd_SRR11815272	norm.SPICE_S_Iso_SRR11815240	norm.SPICE_S_Iso_SRR11815251	norm.SPICE_S_Iso_SRR11815261	norm.SPICE_S_Iso_SRR11815273	norm.SPICE_S_Iso_SRR11815274	norm.SPICE_G_Crd_SRR11815268	norm.SPICE_G_Crd_SRR11815269	norm.SPICE_G_Crd_SRR11815270	norm.SPICE_G_Crd_SRR11815271	norm.SPICE_G_Crd_SRR11815272	baseMean	Isolated	Crowded	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
LOC126334768	118	184	176	100	172	195	217	356	396	170	134	212	128	80	156	249	237	322	305	400	222.27	142	303	2.128	1.089	0.000406376785854157	0.022201635730598	0.1063	0.1367
LOC126335165	19	10	8	12	27	56	52	52	93	4	22	12	6	10	24	71	57	47	72	9	32.94	15	51	3.562	1.833	0.000405069147365632	0.022201635730598	0.2694	0.2372
LOC126276148	550	631	1369	1615	932	886	1125	2399	2139	4521	627	726	994	1297	845	1131	1229	2167	1648	10626	2129.1	898	3360	3.74	1.903	0.000423456795830239	0.0228727453020458	0.3267	0.1732
LOC126277903	147	102	168	182	164	253	199	348	329	110	167	117	122	146	149	323	217	314	254	259	206.86	140	273	1.948	0.962	0.000422162018755074	0.0228727453020458	0.0825	0.1402
LOC126335546	9	26	23	30	115	61	74	77	99	340	10	30	17	24	104	78	81	70	76	799	128.9	37	221	5.902	2.561	0.000436233041308155	0.0233395014375723	0.5569	0.173
LOC126284413	70	134	156	100	79	167	175	263	236	102	80	154	113	80	72	213	191	238	182	240	156.28	100	213	2.129	1.09	0.000443525971733303	0.0236177579947984	0.1058	0.1573
LOC126293406	102	161	249	129	186	222	227	288	294	458	116	185	181	104	169	283	248	260	227	1076	284.93	151	419	2.76	1.465	0.000448479996806109	0.0237694398307238	0.1964	0.1277
LOC126342701	146	169	241	201	169	254	242	310	369	218	166	195	175	161	153	324	264	280	284	512	251.6	170	333	1.948	0.962	0.000476354948039641	0.0248961620760162	0.0849	0.1315
LOC126354796	7	14	10	7	7	26	24	20	22	18	8	16	7	6	6	33	26	18	17	42	18.01	9	27	3.101	1.633	0.000508646499280536	0.0264613379280091	0.1854	0.2461
LOC126355786	22	21	35	26	18	31	35	60	76	51	25	24	25	21	16	40	38	54	59	120	42.23	22	62	2.719	1.443	0.000526735416427589	0.0270495735793447	0.172	0.2322
LOC126284271	1508	1052	6181	1946	1348	3520	4115	7055	6069	3000	1718	1211	4489	1563	1223	4493	4496	6373	4677	7051	3729.32	2041	5418	2.654	1.408	0.00054816698220201	0.0278750318111644	0.1917	0.1934
LOC126328190	7	24	34	29	21	23	18	111	125	46	8	28	25	23	19	29	20	100	96	108	45.64	21	71	3.41	1.77	0.000552828733829942	0.027986025005409	0.2727	0.2296
LOC126332162	933	592	408	2941	485	950	12266	2837	4830	592	1063	682	296	2362	440	1213	13402	2563	3722	1391	2713.32	969	4458	4.603	2.203	0.000567113273587849	0.0285809899354162	0.4487	0.1823
LOC126272758	83	150	110	75	100	163	259	206	217	112	95	173	80	60	91	208	283	186	167	263	160.57	100	221	2.225	1.154	0.000575528625667752	0.028748418828156	0.1243	0.1556
LOC126335883	159	166	293	253	229	294	255	353	493	237	181	191	213	203	208	375	279	319	380	557	290.56	199	382	1.909	0.933	0.000573352975819653	0.028748418828156	0.0828	0.1271
LOC126354789	275	172	367	345	266	327	294	605	704	364	313	198	267	277	241	417	321	546	543	856	397.93	259	537	2.064	1.046	0.000578810045960847	0.0287849630345903	0.1057	0.1239
