Id	SPICE_S_Iso_SRR11815195	SPICE_S_Iso_SRR11815196	SPICE_S_Iso_SRR11815207	SPICE_S_Iso_SRR11815218	SPICE_S_Iso_SRR11815229	SPICE_G_Crd_SRR11815262	SPICE_G_Crd_SRR11815264	SPICE_G_Crd_SRR11815265	SPICE_G_Crd_SRR11815266	SPICE_G_Crd_SRR11815267	norm.SPICE_S_Iso_SRR11815195	norm.SPICE_S_Iso_SRR11815196	norm.SPICE_S_Iso_SRR11815207	norm.SPICE_S_Iso_SRR11815218	norm.SPICE_S_Iso_SRR11815229	norm.SPICE_G_Crd_SRR11815262	norm.SPICE_G_Crd_SRR11815264	norm.SPICE_G_Crd_SRR11815265	norm.SPICE_G_Crd_SRR11815266	norm.SPICE_G_Crd_SRR11815267	baseMean	Isolated	Crowded	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
LOC126293537	9	5	4	15	4	7	82	30	60	74	12	7	3	10	4	9	100	25	72	61	30.01	7	53	5.958	2.575	4.966	6.81770330238175e-07	3.41364534882536e-05	0.4509	0.1667	0.3496	0.3496	TRUE	0.0575
LOC126293648	345	272	820	771	977	985	1510	1082	1943	1120	447	354	590	496	887	1305	1833	887	2325	916	1004.05	555	1453	2.095	1.067	4.474	7.67240955280376e-06	0.000220011064089124	0.1461	0.048	0.1143	0.1143	TRUE	0.1438
LOC126293721	3	0	0	1	4	4	3	23	17	15	4	0	0	1	4	5	4	19	20	12	6.86	2	12	2.752	1.46	3.413	0.000642890486961047	0.00638803896268737	0.5653	0.5794	0.5718	0.5718	TRUE	0.1164
LOC126294962	431	369	723	1310	465	543	1061	1799	2331	2261	559	481	520	843	422	719	1288	1475	2789	1850	1094.58	565	1624	2.422	1.276	4.871	1.10847238864929e-06	4.93347190198145e-05	0.1522	0.0477	0.1162	0.1162	TRUE	0.187
LOC126294994	99	103	154	249	164	2307	8018	283	479	431	128	134	111	160	149	3056	9732	232	573	353	1462.82	136	2789	10.275	3.361	4.739	2.14828760660945e-06	8.14696761583432e-05	1.0096	0.0469	0.6125	1.0096	TRUE	0.6504
LOC126295220	13	8	20	22	16	2	3	2	5	3	17	10	14	14	15	3	4	2	6	2	8.67	14	3	0.327	-1.615	-4.029	5.61068524300158e-05	0.00102500173052098	0	0.4675	0.1466	0.1466	TRUE	0.2611
LOC126295269	23	23	47	43	23	35	90	153	125	121	30	30	34	28	21	46	109	125	150	99	67.18	29	106	3.496	1.806	6.191	5.99610207632267e-10	8.44593806750593e-08	0.0883	0.099	0.0915	0.0915	TRUE	0.1931
LOC126295285	548	335	1270	1299	829	751	2633	2928	2340	1957	711	437	913	836	753	995	3196	2401	2800	1601	1464.14	730	2199	2.667	1.415	5.323	1.02088481876011e-07	7.39305175529217e-06	0.1343	0.0469	0.1063	0.1063	TRUE	0.1017
LOC126295494	698	309	1164	1211	1022	640	1927	2510	3474	2303	905	403	837	779	928	848	2339	2059	4156	1884	1513.76	770	2257	2.335	1.223	4.468	7.88177940808963e-06	0.000224508107673095	0.1944	0.0468	0.1438	0.1438	TRUE	0.2468
LOC126297379	2	0	2	0	1	5	16	14	5	8	3	0	1	0	1	7	19	11	6	7	5.5	1	10	4.573	2.193	3.88	0.000104514978482165	0.00161212153331456	0.1739	0.7116	0.3922	0.3922	TRUE	0.4193
